DATUM,CAS,SUM_of_MNOZSTVO
05-08-13,1110,13088.68465
05-08-13,1125,12798.78674
05-08-13,1140,12946.32264
05-08-13,1155,12756.17886
05-08-13,1170,12356.30826
05-08-13,1185,11768.78521
05-08-13,1200,11377.24535
05-08-13,1215,10960.47199
05-08-13,1230,10641.8939
05-08-13,1245,10355.96068
05-08-13,1260,10095.32925
05-08-13,1275,10100.96505
05-08-13,1290,9777.558145
05-08-13,1305,9774.888653
05-08-13,1320,9683.015079
06-08-13,-105,9645.014899
06-08-13,-90,9533.90137
06-08-13,-75,9530.638705
06-08-13,-60,9643.237935
06-08-13,-45,9209.816608
06-08-13,-30,9109.852998
06-08-13,-15,9357.835317
06-08-13,0,9199.902693
06-08-13,15,9268.900782
06-08-13,30,9163.431706
06-08-13,45,9271.511354
06-08-13,60,9139.067308
06-08-13,75,9039.890469
06-08-13,90,9113.300376
06-08-13,105,9121.509587
06-08-13,120,9228.146857
06-08-13,135,9383.014458
06-08-13,150,9476.801079
06-08-13,165,9456.065115
06-08-13,180,9464.259625
06-08-13,195,9524.236176
06-08-13,210,9439.638141
06-08-13,225,10037.92657
06-08-13,240,10955.87136
06-08-13,255,12589.59643
06-08-13,270,13692.77848
06-08-13,285,14126.47895
06-08-13,300,15031.43625
06-08-13,315,15806.85627
06-08-13,330,16102.37724
06-08-13,345,16289.33921
06-08-13,360,16825.55583
06-08-13,375,17006.86357
06-08-13,390,17261.28291
06-08-13,405,17493.5019
06-08-13,420,17456.91093
06-08-13,435,17402.36453
06-08-13,450,17712.98298
06-08-13,465,17671.65659
06-08-13,480,17725.71903
06-08-13,495,17780.72507
06-08-13,510,17611.45185
06-08-13,525,17628.34239
06-08-13,540,17491.29389
06-08-13,555,17378.68199
06-08-13,570,17091.00471
06-08-13,585,17006.09035
06-08-13,600,17089.78312
06-08-13,615,17479.52969
06-08-13,630,17474.64587
06-08-13,645,17078.6297
06-08-13,660,17436.58753
06-08-13,675,17332.10391
06-08-13,690,17066.6374
06-08-13,705,17085.77144
06-08-13,720,17145.33388
06-08-13,735,16878.0028
06-08-13,750,16646.6573
06-08-13,765,16350.06437
06-08-13,780,15974.90218
06-08-13,795,15910.13147
06-08-13,810,15825.08916
06-08-13,825,15762.04716
06-08-13,840,15393.06734
06-08-13,855,15355.53091
06-08-13,870,15467.11007
06-08-13,885,15150.42526
06-08-13,900,14928.37266
06-08-13,915,15108.20102
06-08-13,930,14721.96197
06-08-13,945,14475.56035
06-08-13,960,13955.74053
06-08-13,975,13707.07689
06-08-13,990,13400.72207
06-08-13,1005,13475.01769
06-08-13,1020,13621.67999
06-08-13,1035,13832.48786
06-08-13,1050,13801.75664
06-08-13,1065,13564.94364
06-08-13,1080,13398.5367
06-08-13,1095,13161.2151
06-08-13,1110,13038.12531
06-08-13,1125,13158.87499
06-08-13,1140,13102.87619
06-08-13,1155,12753.87302
06-08-13,1170,12425.73104
06-08-13,1185,11949.87646
06-08-13,1200,11497.79987
06-08-13,1215,10917.64431
06-08-13,1230,10470.21101
06-08-13,1245,10041.42329
06-08-13,1260,9798.73451
06-08-13,1275,9841.812723
06-08-13,1290,9999.702211
06-08-13,1305,9884.419006
06-08-13,1320,9823.747709
07-08-13,-105,9759.17502
07-08-13,-90,9617.863177
07-08-13,-75,9534.959405
07-08-13,-60,9531.80517
07-08-13,-45,9504.818864
07-08-13,-30,9461.42051
07-08-13,-15,9103.081358
07-08-13,0,8795.116773
07-08-13,15,8514.67376
07-08-13,30,8734.561545
07-08-13,45,8770.022703
07-08-13,60,8706.984611
